frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,left_arm_up,left_arm_down,left_leg_up,left_leg_down,right_arm_up,right_arm_down,right_leg_up,right_leg_down,jump,duck
-1,37,-1,-1,1950,3.0,3.0,2.0,3.0,3.0,4.0,0.0,1.0,1.0,0.0
-1,49,-1,-1,1950,3.0,4.0,4.0,5.0,1.0,2.0,6.0,7.0,0.0,0.0
-1,25,-1,-1,1950,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0
-1,51,-1,-1,1950,6.0,6.0,3.0,4.0,7.0,7.0,6.0,7.0,0.0,0.0
-1,20,-1,-1,1960,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0
-1,42,-1,-1,1960,5.0,5.0,0.0,1.0,4.0,4.0,2.0,3.0,9.0,0.0
-1,48,-1,-1,1960,10.0,9.0,5.0,6.0,8.0,7.0,1.0,2.0,1.0,0.0
-1,23,-1,-1,1960,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0
-1,48,-1,-1,1970,6.0,5.0,2.0,2.0,5.0,5.0,6.0,6.0,6.0,0.0
-1,29,-1,-1,1970,2.0,3.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0
-1,17,-1,-1,1970,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0
-1,12,-1,-1,1970,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
-1,43,-1,-1,1970,6.0,6.0,1.0,2.0,8.0,8.0,3.0,4.0,3.0,0.0
-1,37,-1,-1,1970,5.0,4.0,1.0,2.0,5.0,5.0,2.0,3.0,0.0,0.0
-1,33,-1,-1,1970,3.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,7.0,0.0
-1,46,-1,-1,1970,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0
-1,50,-1,-1,1970,4.0,3.0,9.0,9.0,5.0,4.0,3.0,4.0,0.0,0.0
-1,23,-1,-1,1980,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0
-1,66,-1,-1,1980,8.0,8.0,5.0,5.0,3.0,4.0,4.0,5.0,28.0,0.0
-1,34,-1,-1,1980,2.0,2.0,8.0,9.0,3.0,4.0,1.0,2.0,0.0,0.0
-1,34,-1,-1,1980,4.0,5.0,3.0,4.0,4.0,5.0,1.0,2.0,5.0,0.0
-1,42,-1,-1,1980,6.0,6.0,2.0,3.0,2.0,2.0,3.0,4.0,0.0,0.0
-1,23,-1,-1,1980,4.0,5.0,2.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0
-1,80,-1,-1,1980,12.0,12.0,6.0,6.0,13.0,13.0,2.0,3.0,1.0,0.0
-1,46,-1,-1,1980,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,0.0,4.0
-1,53,-1,-1,1980,4.0,4.0,5.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0
-1,45,-1,-1,1980,2.0,3.0,4.0,5.0,1.0,2.0,3.0,3.0,3.0,0.0
-1,10,-1,-1,1990,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0
-1,36,-1,-1,1990,6.0,5.0,1.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0
-1,51,-1,-1,1990,6.0,5.0,1.0,2.0,6.0,5.0,1.0,1.0,1.0,0.0
-1,35,-1,-1,1990,9.0,8.0,1.0,2.0,9.0,8.0,1.0,1.0,0.0,0.0
-1,50,-1,-1,1990,10.0,10.0,6.0,7.0,10.0,9.0,2.0,2.0,1.0,2.0
-1,48,-1,-1,1990,5.0,5.0,3.0,4.0,7.0,6.0,7.0,8.0,0.0,0.0
-1,40,-1,-1,1990,10.0,11.0,3.0,3.0,8.0,9.0,4.0,5.0,2.0,0.0
-1,74,-1,-1,1990,7.0,7.0,6.0,7.0,11.0,11.0,6.0,7.0,0.0,0.0
-1,49,-1,-1,1990,6.0,6.0,7.0,7.0,6.0,7.0,3.0,4.0,0.0,11.0
-1,47,-1,-1,1990,4.0,4.0,2.0,3.0,7.0,7.0,1.0,2.0,0.0,0.0
-1,54,-1,-1,2000,9.0,8.0,5.0,5.0,7.0,6.0,3.0,2.0,5.0,0.0
-1,27,-1,-1,2000,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
-1,57,-1,-1,2000,6.0,6.0,5.0,5.0,8.0,7.0,7.0,8.0,8.0,7.0
-1,31,-1,-1,2000,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0
-1,38,-1,-1,2000,5.0,5.0,2.0,3.0,5.0,5.0,2.0,3.0,0.0,0.0
-1,48,-1,-1,2000,7.0,7.0,4.0,5.0,9.0,9.0,3.0,4.0,0.0,0.0
-1,26,-1,-1,2000,3.0,4.0,3.0,3.0,4.0,5.0,2.0,3.0,0.0,0.0
-1,49,-1,-1,2000,8.0,9.0,4.0,5.0,7.0,8.0,2.0,3.0,0.0,0.0
-1,49,-1,-1,2000,9.0,9.0,4.0,5.0,11.0,11.0,6.0,7.0,0.0,0.0
-1,52,-1,-1,2000,8.0,9.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0
-1,49,-1,-1,2000,11.0,11.0,7.0,8.0,10.0,10.0,6.0,7.0,0.0,0.0
-1,34,-1,-1,2000,6.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,3.0
-1,31,-1,-1,2000,2.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
-1,29,-1,-1,2000,6.0,6.0,4.0,5.0,5.0,5.0,4.0,5.0,0.0,2.0
-1,46,-1,-1,2000,5.0,4.0,2.0,2.0,4.0,4.0,0.0,1.0,2.0,1.0
-1,43,-1,-1,2010,4.0,5.0,4.0,5.0,7.0,7.0,5.0,6.0,16.0,0.0
-1,49,-1,-1,2010,7.0,8.0,6.0,7.0,7.0,8.0,4.0,5.0,0.0,0.0
-1,44,-1,-1,2010,11.0,11.0,1.0,2.0,5.0,4.0,1.0,2.0,1.0,0.0
-1,37,-1,-1,2010,12.0,11.0,5.0,5.0,8.0,7.0,1.0,2.0,0.0,0.0
-1,33,-1,-1,2010,6.0,6.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,0.0
-1,36,-1,-1,2010,8.0,7.0,5.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0
-1,53,-1,-1,2010,8.0,8.0,4.0,5.0,8.0,8.0,1.0,2.0,2.0,0.0
-1,61,-1,-1,2010,9.0,8.0,6.0,7.0,9.0,10.0,3.0,4.0,1.0,0.0
-1,49,-1,-1,2010,5.0,6.0,5.0,6.0,7.0,8.0,5.0,6.0,9.0,0.0
-1,37,-1,-1,2010,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,0.0
-1,19,-1,-1,2010,2.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,0.0,0.0
-1,59,-1,-1,2010,7.0,7.0,5.0,6.0,7.0,6.0,4.0,5.0,2.0,0.0
-1,38,-1,-1,2010,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0
-1,49,-1,-1,2010,6.0,7.0,3.0,4.0,6.0,6.0,3.0,4.0,1.0,0.0
-1,67,-1,-1,2010,3.0,3.0,7.0,8.0,4.0,3.0,2.0,2.0,2.0,14.0
-1,56,-1,-1,2010,8.0,9.0,9.0,9.0,7.0,7.0,5.0,5.0,2.0,0.0
-1,60,-1,-1,2010,5.0,4.0,6.0,7.0,5.0,4.0,4.0,4.0,0.0,0.0
